"longitude";"latitude";"delivery_company_id";"id"
"127.528030";"50.286414";"10";"1594"
"90.471875";"56.248691";"1";"5282"
"";"";"12";"4947"
"";"";"13";"7742"
"";"";"13";"3107"
"";"";"13";"3115"
"";"";"13";"3117"
"";"";"13";"3121"
"";"";"13";"3119"
"37.566423";"55.566894";"10";"764"
"37.710930";"55.817531";"10";"766"
"60.700790";"55.758134";"1";"6278"
"";"";"13";"3128"
"";"";"13";"3137"
"";"";"1";"707"
"34.083582";"44.967989";"10";"4677"
"";"";"13";"3142"
"38.976741";"45.096476";"1";"7027"
"";"";"12";"1237"
"";"";"13";"3147"
"61.404746";"55.262449";"1";"5451"
"";"";"13";"3149"
"";"";"1";"709"
"59.957228";"56.908704";"1";"5529"
"37.576050";"55.570399";"10";"4590"
"";"";"13";"3151"
"";"";"13";"3156"
"";"";"13";"3158"
"";"";"13";"3159"
"";"";"13";"3161"
"";"";"13";"3172"
"";"";"13";"3175"
"";"";"13";"5412"
"37.682819";"55.726247";"10";"4921"
"";"";"13";"3186"
"44.624163";"48.815988";"1";"5439"
"";"";"13";"3195"
"";"";"13";"2118"
"";"";"13";"2286"
"";"";"13";"3197"
"";"";"13";"3207"
"";"";"13";"4295"
"30.325579";"60.037868";"12";"7702"
"";"";"13";"3211"
"37.505921";"54.017966";"12";"5078"
"19.892177";"54.644072";"12";"2018"
"";"";"13";"2331"
"92.917852";"56.039019";"10";"1592"
"65.603265";"57.109005";"1";"7650"
"";"";"13";"5188"
"";"";"13";"3218"
"";"";"13";"3224"
"";"";"13";"3229"
"";"";"13";"3239"
"";"";"13";"3249"
"";"";"13";"4695"
"";"";"13";"4309"
"36.734414";"55.379541";"12";"5037"
"";"";"13";"3253"
"";"";"13";"4310"
"";"";"13";"3256"
"";"";"13";"4915"
"";"";"13";"2308"
"";"";"1";"711"
"";"";"13";"6695"
"";"";"13";"3991"
"";"";"13";"4004"
"";"";"13";"2304"
"40.989498";"56.992101";"12";"1522"
"61.412588";"55.159383";"1";"5450"
"";"";"13";"2319"
"";"";"13";"3276"
"";"";"13";"3277"
"";"";"13";"3281"
"";"";"13";"3279"
"";"";"13";"2316"
"";"";"13";"2324"
"132.187561";"43.355315";"1";"5390"
"65.566161";"57.177183";"12";"5066"
"";"";"13";"3280"
"";"";"13";"2327"
"";"";"13";"3286"
"";"";"13";"3282"
"";"";"13";"2333"
"";"";"13";"2329"
"";"";"13";"3288"
"";"";"13";"3287"
"39.839995";"57.626246";"12";"1563"
"";"";"13";"3295"
"30.437850";"59.876549";"1";"4818"
"";"";"12";"2009"
"";"";"13";"3297"
"";"";"13";"3299"
"";"";"13";"3300"
"";"";"13";"3303"
"30.272520";"59.948697";"10";"896"
"";"";"13";"3326"
"37.710376";"55.608899";"10";"1168"
"";"";"13";"3328"
"";"";"13";"3332"
"52.262070";"52.796339";"12";"4978"
"63.576198";"61.368537";"12";"5296"
"";"";"13";"3334"
"";"";"12";"1858"
"";"";"13";"2713"
"39.193104";"51.668665";"10";"1200"
"";"";"13";"2495"
"";"";"13";"3338"
"42.887674";"44.043774";"12";"4846"
"84.917950";"55.717756";"12";"4773"
"";"";"13";"3339"
"";"";"12";"4768"
"";"";"13";"3341"
"42.050399";"55.578498";"12";"1508"
"";"";"12";"1860"
"";"";"13";"3365"
"";"";"13";"3366"
"";"";"12";"5081"
"";"";"12";"4902"
"";"";"13";"3408"
"53.289464";"56.843206";"12";"6892"
"73.278821";"54.986511";"12";"1561"
"";"";"13";"3422"
"";"";"13";"3424"
"";"";"13";"3425"
"";"";"13";"3433"
"37.482961";"55.794993";"10";"4922"
"";"";"13";"3438"
"";"";"13";"3436"
"";"";"13";"6428"
"";"";"13";"6431"
"";"";"12";"1863"
"";"";"13";"6433"
"37.340200";"44.890597";"12";"1486"
"44.422230";"48.616477";"1";"5438"
"36.050668";"52.940539";"12";"1478"
"";"";"12";"1247"
"";"";"13";"6720"
"47.479754";"42.982077";"12";"1475"
"";"";"13";"4108"
"43.935313";"56.343084";"10";"908"
"49.104116";"55.829514";"10";"1915"
"46.045594";"51.527730";"1";"5345"
"";"";"13";"6437"
"";"";"13";"6438"
"";"";"13";"2757"
"";"";"12";"5051"
"30.321769";"60.037874";"10";"872"
"";"";"13";"6439"
"43.118259";"44.201207";"12";"4653"
"46.015700";"51.533600";"12";"4615"
"37.890813";"51.315227";"10";"948"
"";"";"13";"2582"
"";"";"13";"2773"
"";"";"13";"6445"
"";"";"13";"6448"
"";"";"13";"4110"
"40.504336";"52.891077";"1";"4951"
"";"";"13";"5550"
"";"";"13";"2119"
"37.605718";"55.721901";"10";"1911"
"49.220527";"55.742179";"12";"1903"
"49.152462";"55.825138";"12";"1931"
"";"";"12";"1624"
"";"";"12";"1277"
"";"";"12";"1278"
"39.711109";"47.224605";"10";"1001"
"";"";"12";"5522"
"37.356693";"55.846548";"1";"5449"
"32.858981";"53.947569";"12";"4742"
"";"";"13";"6450"
"";"";"13";"2787"
"";"";"13";"6457"
"";"";"13";"4700"
"46.015018";"51.533692";"12";"4919"
"59.810641";"58.632014";"1";"5121"
"60.582500";"58.050707";"1";"5120"
"";"";"13";"3216"
"";"";"13";"3150"
"";"";"12";"2011"
"37.753169";"55.622970";"10";"7529"
"";"";"13";"2449"
"37.513358";"55.804243";"10";"7527"
"30.472776";"59.909786";"10";"7442"
"83.107516";"54.759738";"10";"7461"
"";"";"13";"4715"
"";"";"13";"3688"
"45.006647";"53.209098";"12";"7743"
"46.002807";"51.602802";"1";"5344"
"";"";"13";"3401"
"";"";"13";"4009"
"37.775066";"44.687769";"10";"1033"
"";"";"13";"3692"
"";"";"13";"4002"
"";"";"13";"4463"
"37.477381";"55.855780";"12";"7744"
"";"";"13";"2800"
"";"";"13";"3703"
"";"";"13";"4428"
"";"";"13";"3212"
"37.535646";"55.748979";"12";"5657"
"";"";"13";"3243"
"";"";"13";"3270"
"";"";"13";"2802"
"39.619149";"47.237202";"10";"1003"
"43.966221";"56.234373";"10";"913"
"86.121400";"55.339902";"10";"7503"
"";"";"13";"3306"
"";"";"13";"3400"
"";"";"13";"4322"
"";"";"13";"4389"
"";"";"13";"2207"
"";"";"13";"3702"
"";"";"13";"3709"
"37.692672";"55.794330";"10";"1954"
"41.941577";"45.036337";"12";"1549"
"50.144683";"53.204161";"10";"977"
"";"";"13";"3223"
"";"";"13";"3307"
"";"";"13";"3308"
"";"";"13";"3743"
"";"";"13";"3757"
"";"";"13";"3764"
"";"";"13";"4171"
"";"";"13";"4174"
"49.415407";"53.521886";"12";"1569"
"";"";"13";"3523"
"";"";"13";"3517"
"";"";"13";"3521"
"";"";"13";"3772"
"";"";"13";"4173"
"39.716002";"47.234818";"10";"997"
"49.319665";"53.533656";"12";"1468"
"45.006647";"53.209098";"12";"7745"
"";"";"13";"4195"
"";"";"13";"4467"
"";"";"13";"4462"
"38.039014";"55.963580";"10";"7421"
"82.909821";"54.934742";"10";"7462"
"";"";"13";"2870"
"";"";"13";"2874"
"";"";"13";"3795"
"";"";"13";"3804"
"37.369718";"55.820258";"10";"7427"
"65.603265";"57.109005";"12";"5065"
"39.662892";"47.215120";"10";"1196"
"";"";"13";"3810"
"40.099995";"47.410813";"10";"1827"
"37.775666";"55.747305";"10";"777"
"37.566590";"55.769862";"10";"751"
"";"";"13";"2869"
"39.924964";"57.573284";"10";"4927"
"64.055019";"67.499901";"1";"724"
"";"";"13";"3530"
"";"";"13";"5397"
"";"";"13";"3532"
"";"";"13";"2514"
"";"";"13";"2525"
"65.582819";"57.132166";"12";"7291"
"37.561844";"55.430668";"10";"775"
"";"";"13";"4689"
"73.397068";"61.257318";"10";"2090"
"37.680261";"55.775479";"10";"4586"
"91.406023";"53.722232";"10";"1135"
"37.604319";"55.614761";"10";"7418"
"38.947088";"45.059802";"10";"1999"
"137.013311";"50.540227";"12";"5238"
"30.287052";"59.917456";"10";"879"
"35.879346";"56.862786";"7";"692"
"35.886271";"56.855911";"10";"844"
"37.542430";"55.772861";"10";"7414"
"49.142073";"55.774496";"10";"1998"
"37.568006";"55.844994";"10";"1586"
"";"";"13";"2549"
"42.046815";"44.208289";"12";"4656"
"37.788879";"55.791996";"10";"763"
"37.670260";"55.726748";"10";"767"
"37.703689";"55.748510";"10";"774"
"37.498007";"55.790909";"10";"795"
"37.407365";"55.799638";"10";"7420"
"30.317870";"59.915498";"10";"863"
"";"";"13";"2559"
"30.386994";"59.969816";"10";"857"
"";"";"13";"2886"
"37.502151";"55.818067";"10";"1167"
"37.747593";"55.659580";"10";"5486"
"30.350645";"59.851703";"10";"871"
"30.316884";"59.828879";"10";"875"
"";"";"12";"4905"
"43.933939";"56.298669";"10";"7468"
"39.867734";"57.635787";"10";"1176"
"44.570375";"48.787985";"10";"4644"
"129.734960";"62.025883";"10";"1140"
"";"";"13";"2568"
"32.055612";"54.781083";"10";"1974"
"30.260115";"59.842813";"10";"904"
"104.337188";"52.279142";"12";"5014"
"37.593880";"55.796892";"10";"7412"
"82.898665";"54.992926";"10";"1065"
"";"";"13";"2579"
"";"";"13";"3539"
"37.849571";"55.681420";"10";"756"
"";"";"12";"1628"
"37.726004";"55.891995";"10";"7433"
"";"";"13";"4511"
"";"";"13";"2604"
"37.798080";"55.797238";"10";"799"
"37.493924";"55.867083";"10";"7530"
"43.602550";"43.481007";"10";"1042"
"39.757302";"54.618734";"10";"7495"
"37.648126";"55.653542";"10";"750"
"46.129855";"51.476918";"10";"7518"
"31.263353";"58.526522";"10";"925"
"";"";"13";"3542"
"49.655777";"58.617657";"10";"7516"
"37.558663";"55.432304";"10";"7435"
"";"";"13";"4214"
"";"";"13";"2907"
"";"";"13";"2605"
"82.912633";"55.023018";"10";"1063"
"37.605226";"55.864761";"10";"7426"
"39.886450";"59.220334";"10";"7513"
"37.697640";"55.612373";"10";"7416"
"";"";"13";"3544"
"";"";"13";"2612"
"72.612163";"61.082544";"12";"5242"
"37.440080";"55.845226";"10";"759"
"39.258684";"51.688023";"10";"1201"
